team,wc_appearances,prev_wc_wins
Argentina,18,3
Algeria,4,0
Australia,7,0
Austria,8,0
Belgium,15,0
Bosnia and Herzegovina,2,0
Brazil,22,5
Canada,3,0
Cape Verde,1,0
Colombia,7,0
Congo DR,2,0
Croatia,7,0
Curacao,1,0
Czech Republic,10,0
Ecuador,5,0
Egypt,4,0
England,16,1
France,16,2
Germany,21,4
Ghana,5,0
Haiti,2,0
IR Iran,6,0
Iraq,2,0
Japan,8,0
Jordan,1,0
Mexico,18,0
Morocco,7,0
Netherlands,12,0
New Zealand,3,0
Norway,4,0
Panama,2,0
Paraguay,9,0
Portugal,8,0
Qatar,2,0
Saudi Arabia,7,0
Scotland,9,0
Senegal,4,0
South Africa,4,0
South Korea,12,0
Spain,16,1
Sweden,12,0
Switzerland,13,0
Tunisia,7,0
Turkey,3,0
Uruguay,14,2
USA,12,0
Uzbekistan,1,0
Ivory Coast,4,0
